Instance,Algorithm,P1_Name,P1_Val,P2_Name,P2_Val,BestCost,Evaluations,TimeMicros
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,16228,102106,25039
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,19614,155382,39235
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,16664,162526,40013
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,18110,179740,37138
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,18890,14440,3183
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,16962,36100,8439
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,17370,54720,12790
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,20032,20140,4356
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,17822,43700,9752
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,20816,72960,15638
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,16718,29260,4849
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,16938,62700,8764
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,17596,88160,13776
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,16846,40280,6467
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,18532,84550,13430
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,17418,162640,22960
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,19078,170240,23403
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,16130,432250,77231
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,14854,680960,114295
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,24616,12084,1870
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,14810,14630,2217
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,18938,11552,1777
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,23416,20520,3174
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,16206,23940,6080
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,16920,36024,9269
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,16812,76380,12558
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,17380,47804,7535
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,14860,58140,9397
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,10,17546,88426,15742
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,4,14810,106742,16873
data\chr20c.dat,TS,P_Factor,10,Tenure_Factor,2,14812,150100,29511
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,10,17546,294766,71946
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,4,14810,205314,42436
data\chr20c.dat,TS,P_Factor,20,Tenure_Factor,2,14142,534242,126525
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,18074,15960,2383
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,21232,27550,4639
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,17370,62320,9813
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,26246,20140,2851
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,15942,38000,6868
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,16986,68400,13255
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,22196,18240,3847
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,18808,50350,8399
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,17600,91200,12824
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,20192,43700,6577
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,20638,83600,15469
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,17060,138320,22925
